,Session,Question,Question from,Party,Date Dated,Date Answered
3126,2022-2023,"Ny barnehagelov skaper komplikasjoner for Kirkens Bymisjons åpne barnehager. Stiftelsen eier barnehager som etter lovendringen må etableres som egne rettssubjekter. Dette er barnehager som fungerer som en døråpner inn til de ordinære barnehagene, spesielt egnet for å integrere familier med minoritetsbakgrunn. Det er ikke mulig å gi ansatte gode arbeidsvilkår om barnehagen splittes opp, og tilbudet står i fare for å bli nedlagt. 
Vil statsråden sørge for at Kirkens Bymisjon får unntak fra regelen om etablering av egne rettssubjekter?",Guro Angell Gimse,Høyre,2023-03-16,2023-03-22
3127,2022-2023," Mitt spørsmål går til statsråd  Borten Moe. 

To tredjedeler av bedriftene som har svart på NHOs kompetansebarometer for 2022, svarer at de har et udekket kompetansebehov. En undersøkelse Tekna gjennomførte, viste at over halvparten av kommunene ikke får besatt stillinger som krever høyere utdanning innen teknologi eller realfag. NITOs behovsundersøkelse viser at 62 pst. av bedriftene ikke får tak i kvalifiserte ingeniører. Samtidig ser vi i søkningen til høyere utdanning at færre vil bli lærere i realfag, og OECD-tall viser at vi rekrutterer generelt dårligere enn andre nordiske land innenfor realfag, IT og teknologi. 

En rekke organisasjoner har gått sammen om felles initiativ for å rekruttere flere til teknologi og realfag gjennom STEM for fremtiden, og universitetsrektorer og NHO-sjefen slår alarm om manglende realfagsrekruttering, og at det vil kunne stanse det grønne skiftet. Samtidig har regjeringen, som statsråden er en del av, avvist forslaget om flere naturfagtimer i ungdomsskolen, avviklet lærerspesialistordningen, som bl.a. hadde realfagsspesialister, fjernet kompetansekrav til alle lærere i matematikk og fjernet karakterkravet i matematikk for å komme inn på lærerutdanningen, for å nevne noe. Regjeringen har òg valgt å ikke fornye realfagsstrategien, som nettopp skulle styrke realfagsopplæringen i barnehage og grunnopplæringen. 

En strategi og en nasjonal plan for styrket realfagsatsing fra barnehage til høyere utdanning vil være et nødvendig og sterkt etterspurt tiltak. Deler statsråden bekymringen som både universitets- og høyskolesektoren og næringslivet kommer med, og vil statsråden være med på Høyres initiativ for å få på plass en ny, langsiktig nasjonal strategi og en satsing på realfagene? 

",Margret Hagerup,Høyre,2023-03-15,2023-03-15
3128,2022-2023," Spørsmålet går til statsråd  Vestre.

Då me førre gong hadde ei raud-grøn regjering, frå 2005 til 2013, såg Hordaland og Rogaland Framstegsparti seg nøydde til å dra i gong eit vestlandsopprør i 2011. Frustrasjonen i vest var stor på grunn av regjeringa si manglande samferdselssatsing, nei-haldning i arealpolitikken, ein næringsfiendtleg skattepolitikk, motstanden mot heving av ubåten på Fedje, kraftliner i Hardanger og arroganse frå Oslo-makta. 

Salige statsvitar, professor og arbeidarpartimedlem Frank Aarebrot var på Framstegspartiet si side og hevda at Arbeidarpartiet, Senterpartiet og SV si neglisjering av Vestlandet gav grobunn for opprøret, og at det var reell fare for at Vestlandet ville gå sin eigen veg og krevje meir makt. Han såg føre seg at det kunne kome krav om mogleg oppsplitting av landet i retning av sjølvstyrte einingar. 

No er det næringslivet som står i spissen for vestlandsopprøret, og det berre eitt og eit halvt år etter at me fekk ei ny raud-grøn regjering. Mange av argumenta er dei same: manglande samferdselssatsing, skattesjokk for næringslivet langs kysten og ei gigantisk overføring av pengar og makt til hovudstaden. Kva meiner statsråd Vestre er grunnen til at dei to siste raud-grøne regjeringane hamnar i ein slik konflikt med innbyggjarane og næringslivet på Vestlandet?

",Sigbjørn Framnes,Fremskrittspartiet,2023-03-15,2023-03-15
3129,2022-2023," Ved utgangen av 2022 levde  anslagsvis 383 mill. kvinner i ekstrem fattigdom. Mødre- og spedbarnsdødeligheten  har økt de siste årene. Det har også antall tenåringsgraviditeter  og barneekteskap. Konflikter i verden øker, og dermed øker kjønnsbasert  vold og overgrep. Samtidig forsvinner ofte grunnleggende tilbud  om prevensjonsmidler og trygt fødetilbud. 

I fjor var risikoen for kjønnsbasert vold ifølge Redd Barna på et alvorlig eller ekstremt nivå i 95 pst. av verdens humanitære krisesituasjoner. Pandemien har fungert som en katalysator for den negative utviklingen, og i 2021 estimerte UNICEF at pandemien ville bidra til 10 mill. flere barneekteskap fra 2020 til 2025. Det er første gang på 20 år at det estimeres en økning, og økningen kommer på toppen av at 12 mill. barn årlig giftes bort. 

Mye tilsier en fortsatt negativ trend de neste årene: et svært høyt antall flyktninger, pandemi, klimaendringer, økte levekostnader og et tiltakende globalt konfliktnivå. Etter å ha kuttet bevilgningene til seksuell og reproduktiv helse og rettigheter i revidert nasjonalbudsjett 2022, rettet regjeringen bare delvis opp dette kuttet i budsjettet for 2023. Regjeringens egen veileder om temaet, og regjeringens uttalte ambisjoner på feltet, står i motsetning til regjeringens politikk. Regjeringens kutt står også i kontrast til Solberg-regjeringens satsing med 10,4 mrd. kr til seksuelle og reproduktive rettigheter fra 2020 til 2025 og 1 mrd. kr til kampen mot seksualisert og kjønnsbasert vold i humanitære kriser fra 2019 til 2021. 

Hvordan harmonerer regjeringens manglende satsing på dette området for jenter og kvinner med regjeringens uttalte ambisjoner?

",Ingjerd Schie Schou,Høyre,2023-03-15,2023-03-15
3130,2022-2023," Mitt spørsmål går også til statsråd  Borten Moe. 

Regjeringen har i statsbudsjettet for i år valgt å innføre avgift for å studere i Norge for studenter utenfor EØS-området og Sveits. Dette er etter Venstres syn helt gal politikk, som både studentene, utdanningsinstitusjonene og Norge taper på, og som studentene og institusjonene har reagert kraftig imot. Vi i Venstre mener vi må satse mer på kunnskap i årene framover, ikke mindre, og vi må åpne opp for verden og tiltrekke oss flere flinke folk, ikke forsøke å mure oss inne. Vi stemte derfor mot denne studieavgiften, og vi kommer til å fortsette å være mot regjeringens politikk på dette feltet.

Nå viser det seg at denne politikken i tillegg har blitt et stort problem for institusjonene å innføre. I forrige uke fikk Stortingets utdannings- og forskningskomité nok en henvendelse fra Universitets- og høgskolerådet, der de beskriver problemene som følge av at lovhjemmelen kommer i siste liten. Dette medfører bl.a. følgende problemer: Universitetene og høyskolene vet ikke hvem som er betalingspliktige. Utenlandske studenter får problemer med oppholdstillatelsen. Studentenes rettssikkerhet ivaretas ikke fordi sektoren ikke har tilgang til data om statsborgerskap, og bl.a. studenter som vurderer å begynne på norsk universitet eller høyskole til høsten, aner ikke hva de har å forholde seg til. 

Da Sverige innførte en slik avgift, ble det gjort med to års varsel, slik at alle fikk tid til å tilpasse seg. I Norge er det innført uten forutsigbare analyser og med stort hastverk. Når statsråden hører alle problemene dette har skapt, håper jeg at det i det minste gjør litt inntrykk på statsråden. Jeg lurer på om statsråden nå vil ta initiativ innad i regjeringen for å revurdere innføringen av studieavgift i lys av disse utfordringene, eventuelt utsette innføringen. 

",Abid Raja,Venstre,2023-03-15,2023-03-15
3131,2022-2023," Mitt spørsmål går  til statsråd Borten Moe. 

Skal vi klare å utdanne folk til arbeidslivet framover, må landets studenter har rammene som trengs for å lykkes – for å fullføre, få gode resultater og komme seg videre ut i relevante jobber. Derfor bør vi være bekymret nå. De økte prisene, som vi alle merker, rammer studentenes allerede bunnskrapte bankkontoer hardt. Ikke alle studenter har foreldre å søke ly hos. Mange studenter har ansvaret for barn og økonomiske forpliktelser selv. 

Studiebarometeret har nettopp kommet med nye tall som viser at studentene allerede jobber rekordmye ved siden av studiene, og inflasjonen pekes på som en årsak. Samtidig vet vi fra enn SSBs undersøkelse at mer deltidsjobbing går ut over studentenes resultater. Derfor er jeg veldig glad for at SV, sammen med regjeringspartiene, skal øke studiestøtten fra høsten som kommer, med 9 022 kr. Det er den største økningen på elleve år og langt over forventet prisvekst. Likevel er det grunn til å lytte til studentenes varsko. 

Det er lenge til august når man ikke har penger på konto. Studiebarometeret viser både at studentene bruker rekordmye tid på deltidsjobben, at de er mindre fornøyde med sitt sosiale miljø enn før, og at flere studenter er mindre fornøyd med studiet sitt. Det vitner om at mange studenter står i en krise. 

Statsråden hadde et møte med sektoren etter at disse tallene ble klare, og jeg lurer på hvordan han tenkt å følge opp dette. Er han enig i at det er en krise for mange studenter nå?

",Freddy André Øvstegård,Sosialistisk Venstreparti,2023-03-15,2023-03-15
3132,2022-2023," LO-leder Peggy Hessen  Følsvik har uttalt: «Det er payback-time. Nå skal vi ta de rike».

Rikke Lind, som var statssekretær under tre næringsministre fra Arbeiderpartiet – Dag Terje Andersen, Sylvia Brustad og Trond Giske – uttalte til DN: 

Vil statsråden ta oppfordringen fra Lind og ta tydelig avstand fra «nå skal vi ta de rike»-retorikken den tidligere statssekretæren for Arbeiderpartiet opplever fra LO-lederen?

",Bengt Rune Strifeldt,Fremskrittspartiet,2023-03-15,2023-03-15
3133,2022-2023," Mitt spørsmål går til næringsminister  Vestre. I over ni måneder var Flytoget i en prosess med å utvikle  et godt tilbud for de reisende på Østlandet. Så var det kartellkonferanse  på Gol, og to dager etter ga statsråd Nygård et nytt mandat, nemlig  at Vy skulle få hele pakken – de skulle i hvert fall ha minst halve  pakken. Flytoget er satt ut av spill og har ingen muligheter for  å konkurrere med LO og Samferdselsdepartementets styring av denne  prosessen. 

Vi vet at Flytoget har vært en suksess. Da vår regjering antydet at en kunne delprivatisere Flytoget, gikk daværende opposisjonsleder Støre hardt ut og sa at dette er arvesølvet. Jens Stoltenberg har uttalt at vi må få tog med Flytog-standard over hele landet. Det sa han i 2010. 

Nå er vi i den situasjonen at Vy skal få gjøre som de har gjort før, nærmere bestemt under gamle NSB, og ha monopol på togdrift på Østlandet. Prisen på dette er også noe som kommer til å bli diskutert, men jeg vil først ta tak i den aktive eierstyringen, som statsråd Vestre alt har gjort seg til talsmann for. Aftenposten har forbilledlig vist prosessene i denne saken. Da er mitt enkle spørsmål: 

Hvor mange møter har statsråd Vestre, som eier av Flytoget, hatt med Flytoget i denne prosessen, der Vy har stukket av med hele kaken?

",Trond Helleland,Høyre,2023-03-15,2023-03-15
3134,2022-2023,"Norge er ikke et isolert land. Vi er avhengige av utenlandsk arbeidskraft, og vi inngår avtaler med utenlandske selskap. En bedrift som hører hjemme i et EØS-land, og som påtar seg entrepriseoppdrag i Norge, vil etter gjeldende rett kunne leie inn personell for å gjennomføre sin kontraktsforpliktelse her. 
Vil de nye innstrammingene i innleie hindre selskaper fra EØS-området i å bemanne sine entrepriseoppdrag i Norge med innleid personell, og hvis svaret er ja, mener statsråden dette er i tråd med EØS-avtalen?",Anna Molberg,Høyre,2023-03-15,2023-03-29
3135,2022-2023,"Framstegspartiet har i regjering gitt skognæringa eit løft, mellom anna med ei stor satsing på tømmerkaier. Flaskehalsen i dag er vegnettet til desse kaiene. I dag er det berre 14 pst. av kommunevegnettet i Noreg som er tillate for standard tømmervogntog. Ei støtte til fjerning av flaskehalsar på kommunale vegar bør komme på plass. 
Vil statsråden opne for at tilskotsordninga som allereie finst, også inkluderer at det kan ytast tilskot til fjerning av flaskehalsar for tømmertransporten på kommunale vegar?",Sigbjørn Framnes,Fremskrittspartiet,2023-03-15,2023-03-22
3136,2022-2023,"I fjor valgte regjeringen å la Forsvarets logistikkavtale med Wilhelmsen-rederiet, WilNor-avtalen, utløpe uten å ha noen erstatning på plass. WilNor-avtalen bedret vesentlig Norges evne til alliert mottak da den ble innført. Forsvarssjefens kommunikasjonssjef uttalte i fjor at ""Når avtalen faller bort, kan det få den kortsiktige virkning at evnen til alliert mottak blir lavere"". 
Hva er status for Norges evne til mottak av allierte styrker nå, sammenlignet med hva den var da WilNor-avtalen fortsatt var gjeldende?",Hårek Elvenes,Høyre,2023-03-09,2023-03-15
3137,2022-2023,"I statsbudsjettet flyttet regjeringen viktige krisetjenester som Kirkens SOS og Mental Helse over på en søknadsordning. Disse er lavterskeltilbud som hver dag hjelper folk i store kriser og reduserer trykket på helsevesenet. Regjeringen lovet at søknadene skulle behandles raskt for å sikre forutsigbarhet, men i midten av mars er det fortsatt ikke kommet noen avklaring. Kirkens SOS og Mental Helse er bekymret for at de må kutte i tjenestene, samtidig som henvendelsene bare øker. 
Synes statsråden dette er godt nok?",Bård Hoksrud,Fremskrittspartiet,2023-03-09,2023-03-15
3138,2022-2023,"Etter en prosess som ikke kan sies å ha gått på skinner, fikk Vy 3. mars tildelt persontogtrafikken på hele Østlandet. Fra å ha reell konkurranse, med flere leverte tilbud på Trafikkpakke 4 i 2021, er vi nå tilbake til monopol for Vy på hele Østlandet. Det betyr slutten for Flytoget. Ny kontrakt med Vy skal gjelde fra desember i år. I sitt tilbud for samlet drift tar Vy også over Flytogets ruteleier. 
Når og hvordan ser statsråden for seg at dette skal gjøres, med tanke på at Flytoget har kontrakt fram til 2028?",Trond Helleland,Høyre,2023-03-09,2023-03-15
